match_name,season,max_odds.home,spread_odds.home,mean_odds.home,stdev.home,max_odds.draw,spread_odds.draw,mean_odds.draw,stdev.draw,max_odds.away,spread_odds.away,mean_odds.away,stdev.away,best_spread,market_tracktake
Leicester-Man City,19,4.62,0.27000000000000046,4.511666666666667,0.0960034721594312,4.28,0.28000000000000025,4.1466666666666665,0.09933109617167576,1.73,0.030000000000000027,1.7183333333333333,0.014719601443879758,0.28000000000000025,0.028129758344225486
Leicester-Man City,20,6.75,0.75,6.29,0.29257477676655586,4.2,0.3500000000000001,4.045,0.12227019260637484,1.61,0.08000000000000007,1.5633333333333335,0.027325202042558953,0.75,0.007361398665746366
Leicester-Man United,14,5.75,1,5.456666666666667,0.3587013613950561,4.23,0.7300000000000004,3.9383333333333335,0.27206004239260634,1.67,0.11999999999999988,1.6466666666666665,0.04802776974487429,1,0.009122058073184558
Leicester-Man United,15,3.3,0.3999999999999999,3.1016666666666666,0.16005207485898656,3.5,0.3999999999999999,3.3583333333333334,0.14288690166235204,2.4,0.10000000000000009,2.373333333333333,0.039327683210007035,0.3999999999999999,0.005411255411255533
Leicester-Man United,16,5.95,0.9500000000000002,5.475,0.34168699126539775,4,0.2999999999999998,3.84,0.11045361017187258,1.7,0.050000000000000044,1.6833333333333333,0.020655911179772907,0.9500000000000002,0.006302521008403339
Leicester-Man United,17,4.75,0.41999999999999993,4.451666666666667,0.15892346166210528,3.71,0.20999999999999996,3.618333333333333,0.10008329864001625,1.91,0.10999999999999988,1.87,0.04604345773288528,0.41999999999999993,0.0036283041892986034
Leicester-Man United,18,3.84,0.43999999999999995,3.64,0.14696938456699069,3.5,0.1299999999999999,3.445,0.06123724356957945,2.17,0.1200000000000001,2.12,0.044721359549995794,0.43999999999999995,0.006960445468509935
Leicester-Man United,19,3.25,0.10000000000000009,3.2083333333333335,0.037638632635454056,3.51,0.2599999999999998,3.4266666666666667,0.10033277962194938,2.3,0.09999999999999964,2.2466666666666666,0.04082482904638614,0.2599999999999998,0.027375201288244888
Leicester-Man United,20,3.08,0.18000000000000016,2.98,0.06928203230275515,3.67,0.3700000000000001,3.545,0.13171939872319496,2.35,0.050000000000000266,2.3166666666666664,0.02581988897471625,0.3700000000000001,0.022686803601639216
Leicester-Middlesbrough,16,1.91,0.10999999999999988,1.875,0.04460941604639086,3.65,0.25,3.525,0.10839741694339404,4.72,0.21999999999999975,4.57,0.08831760866327834,0.25,0.009397218943470786
Leicester-Newcastle,14,1.97,0.06000000000000005,1.93,0.025298221281347056,3.7,0.3500000000000001,3.565,0.1391042774324356,4.33,0.6299999999999999,4.101666666666667,0.23207039162001392,0.6299999999999999,0.008831365685329828
Leicester-Newcastle,15,1.65,0.11999999999999988,1.6016666666666668,0.043550736694878835,4.33,0.73,4.003333333333334,0.33254573620280664,6.25,1.1500000000000004,5.878333333333333,0.3975131025094227,1.1500000000000004,-0.002992511722303859
Leicester-Newcastle,17,2,0.07000000000000006,1.9583333333333333,0.02401388487243719,3.6,0.20000000000000018,3.49,0.10099504938362087,4.4,0.6000000000000005,4.191666666666666,0.2194918373577176,0.6000000000000005,0.005050505050504972
Leicester-Newcastle,18,1.66,0.030000000000000027,1.65,0.010954451150103333,4,0.25,3.9033333333333333,0.09309493362512627,6.25,1.1500000000000004,5.763333333333334,0.42926293418680667,1.1500000000000004,0.01240963855421695
Leicester-Newcastle,19,1.53,0.030000000000000027,1.52,0.015491933384829681,4.21,0.20999999999999996,4.035,0.08573214099741122,7.5,0.7999999999999998,7.12,0.35749125863438946,0.7999999999999998,0.024457795786564818
Leicester-Newcastle,20,1.44,0.040000000000000036,1.41,0.016733200530681527,4.92,0.41999999999999993,4.736666666666666,0.13808210118138647,8.5,0.6299999999999999,8.061666666666667,0.22094494035090884,0.6299999999999999,0.015343535788298945
Leicester-Norwich,15,1.57,0.07000000000000006,1.52,0.03162277660168382,4.42,0.41999999999999993,4.258333333333334,0.15804007930479747,6.5,0.5,6.236666666666666,0.23508863576673947,0.5,0.01703317289679207
Leicester-Norwich,19,1.23,0.030000000000000027,1.2183333333333333,0.009831920802501759,6.8,0.2999999999999998,6.566666666666666,0.12110601416389959,15,3,13.741666666666667,1.1706479687193185,3,0.026733620277379355
Leicester-QPR,14,1.62,0.050000000000000044,1.5933333333333335,0.019663841605003517,4.57,0.7700000000000005,4.15,0.3574353088322419,6.02,1.0199999999999996,5.67,0.4115823125451335,1.0199999999999996,0.0022152881718977557
Leicester-Sheffield United,19,2.05,0.09999999999999987,2.006666666666667,0.035590260840104346,3.4,0.1499999999999999,3.35,0.06324555320336757,4.12,0.2200000000000002,4.028333333333333,0.0917423929634858,0.2200000000000002,0.024640971709545934
Leicester-Sheffield United,20,1.56,0.08000000000000007,1.52,0.027568097504180468,4.25,0.25,4.101666666666667,0.11496376240653694,7,0.5,6.8116666666666665,0.24661035393240624,0.5,0.019176901529842638
Leicester-Southampton,14,2.62,0.2200000000000002,2.5733333333333333,0.08547904226573132,3.4,0.2999999999999998,3.3,0.11401754250991374,2.94,0.29000000000000004,2.8233333333333333,0.11075498483890767,0.2999999999999998,0.015933090793569304
Leicester-Southampton,15,2.3,0.1499999999999999,2.245,0.05958187643906486,3.4,0.19999999999999973,3.308333333333333,0.06645800679125623,3.56,0.45999999999999996,3.36,0.18761663039293716,0.45999999999999996,0.009799132158970103
Leicester-Southampton,16,2.25,0.1499999999999999,2.206666666666667,0.0571547606649408,3.4,0.1499999999999999,3.35,0.06324555320336757,3.63,0.22999999999999998,3.5216666666666665,0.08256310717667226,0.22999999999999998,0.014044185167179979
Leicester-Southampton,17,2.42,0.16999999999999993,2.3383333333333334,0.06462713568360172,3.53,0.23999999999999977,3.4366666666666665,0.09048020041239221,3.2,0.20000000000000018,3.0933333333333333,0.06860515043833572,0.23999999999999977,0.009009259476037812
Leicester-Southampton,18,1.95,0.09999999999999987,1.915,0.037815340802378035,3.59,0.08999999999999986,3.515,0.036742346141747616,4.5,0.40000000000000036,4.3149999999999995,0.14652644812456217,0.40000000000000036,0.013594267076161293
Leicester-Southampton,19,1.65,0.04999999999999982,1.6333333333333333,0.02065591117977281,4.05,0.1499999999999999,3.9966666666666666,0.05163977794943225,5.7,0.7000000000000002,5.433333333333334,0.23380903889000246,0.7000000000000002,0.028412782798747704
Leicester-Southampton,20,1.8,0.020000000000000018,1.7933333333333334,0.010327955589886454,3.75,0.1499999999999999,3.6983333333333333,0.054924190177613574,4.8,0.2999999999999998,4.57,0.1191637528781298,0.2999999999999998,0.030555555555555447
Leicester-Stoke,14,2.63,0.1299999999999999,2.6,0.04939635614091389,3.3,0.19999999999999973,3.22,0.07071067811865467,3.02,0.3700000000000001,2.8533333333333335,0.14583095236151575,0.3700000000000001,0.014384267727002076
Leicester-Stoke,15,2.1,0.10000000000000009,2.07,0.040000000000000056,3.5,0.25,3.3633333333333333,0.11254628677422757,4,0.5,3.783333333333333,0.20412414523193148,0.5,0.011904761904761862
Leicester-Stoke,16,2.07,0.16999999999999993,2.02,0.06324555320336754,3.5,0.10000000000000009,3.4633333333333334,0.04966554808583785,4.1,0.2999999999999998,3.9499999999999997,0.10488088481701512,0.2999999999999998,0.0127085121782895
Leicester-Stoke,17,1.75,0.050000000000000044,1.7216666666666667,0.0172240142436851,3.89,0.29000000000000004,3.7800000000000002,0.10844353369380769,5.62,0.8200000000000003,5.078333333333333,0.31307613557514524,0.8200000000000003,0.0064339232294294835
Leicester-Sunderland,14,2.25,0.1499999999999999,2.15,0.05477225575051658,3.51,0.6099999999999999,3.335,0.2266053838724932,4,1,3.6033333333333335,0.4038151392242082,1,-0.02065527065527073
