date,season,match_name,books,track_take
05/10/13,13,Hull-Aston Villa,williamhill,0.06666666666666665
05/10/13,13,Hull-Aston Villa,vcbet,0.028205128205128105
05/10/13,13,Liverpool-Crystal Palace,bet365,0.025490196078431282
05/10/13,13,Liverpool-Crystal Palace,bwin,0.0641025641025641
05/10/13,13,Liverpool-Crystal Palace,interwetten,0.08482364629905614
05/10/13,13,Liverpool-Crystal Palace,pinnacle,0.018910545035439874
05/10/13,13,Liverpool-Crystal Palace,williamhill,0.06815697963238954
05/10/13,13,Liverpool-Crystal Palace,vcbet,0.02919594067135045
05/10/13,13,Man City-Everton,bet365,0.018715815123000912
05/10/13,13,Man City-Everton,bwin,0.06728395061728398
05/10/13,13,Man City-Everton,interwetten,0.0804554554554553
05/10/13,13,Man City-Everton,pinnacle,0.018757996079044936
05/10/13,13,Man City-Everton,williamhill,0.06633486274204836
05/10/13,13,Man City-Everton,vcbet,0.025974025974025983
05/10/13,13,Sunderland-Man United,bet365,0.022727272727272707
05/10/13,13,Sunderland-Man United,bwin,0.0687608569774174
05/10/13,13,Sunderland-Man United,interwetten,0.08014297530426573
05/10/13,13,Sunderland-Man United,pinnacle,0.02087456196963533
05/10/13,13,Sunderland-Man United,williamhill,0.06633486274204836
05/10/13,13,Sunderland-Man United,vcbet,0.027853056308340784
06/10/13,13,Norwich-Chelsea,bet365,0.02113010446343777
06/10/13,13,Norwich-Chelsea,bwin,0.06416387693288694
06/10/13,13,Norwich-Chelsea,interwetten,0.0804554554554553
06/10/13,13,Norwich-Chelsea,pinnacle,0.01903321137067282
06/10/13,13,Norwich-Chelsea,williamhill,0.034287999200279806
06/10/13,13,Norwich-Chelsea,vcbet,0.027853056308340784
06/10/13,13,Southampton-Swansea,bet365,0.025062656641603898
06/10/13,13,Southampton-Swansea,bwin,0.06763681082188988
06/10/13,13,Southampton-Swansea,interwetten,0.08080808080808088
06/10/13,13,Southampton-Swansea,pinnacle,0.02096895294563872
06/10/13,13,Southampton-Swansea,williamhill,0.06543778801843314
06/10/13,13,Southampton-Swansea,vcbet,0.026718379659556035
06/10/13,13,Tottenham-West Ham,bet365,0.02261781905744753
06/10/13,13,Tottenham-West Ham,bwin,0.060530337449919536
06/10/13,13,Tottenham-West Ham,interwetten,0.08251231527093594
06/10/13,13,Tottenham-West Ham,pinnacle,0.0217351091379947
06/10/13,13,Tottenham-West Ham,williamhill,0.06944444444444442
06/10/13,13,Tottenham-West Ham,vcbet,0.02261781905744753
06/10/13,13,West Brom-Arsenal,bet365,0.025510204081632626
06/10/13,13,West Brom-Arsenal,bwin,0.06878449320231539
06/10/13,13,West Brom-Arsenal,interwetten,0.0793650793650793
06/10/13,13,West Brom-Arsenal,pinnacle,0.019217453995174605
06/10/13,13,West Brom-Arsenal,williamhill,0.030555555555555447
06/10/13,13,West Brom-Arsenal,vcbet,0.029761904761904656
19/10/13,13,Arsenal-Norwich,bet365,0.025193798449612226
19/10/13,13,Arsenal-Norwich,bwin,0.06515151515151518
19/10/13,13,Arsenal-Norwich,interwetten,0.07970926711084192
19/10/13,13,Arsenal-Norwich,pinnacle,0.023191301280090615
19/10/13,13,Arsenal-Norwich,williamhill,0.060139860139859946
19/10/13,13,Arsenal-Norwich,vcbet,0.04628704628704616
