id_game,matchweek,date,hometeam,awayteam,results,results_categoric,market_tracktake,odds,probas,bets,log_growth
2538,33,2021-04-26,leicester,crystal_palace,1,home,0.020595461771932392,1.48,0.5188367488055486,4.0176176075205196e-18,0.16118094531417815
2538,33,2021-04-26,leicester,crystal_palace,0,draw,0.020595461771932392,4.4,0.2845467851586658,0.08199411344055019,0.16118094531417815
2538,33,2021-04-26,leicester,crystal_palace,0,away,0.020595461771932392,8.5,0.1966164660357855,0.08672333424907018,0.16118094531417815
2539,33,2021-04-30,southampton,leicester,0,home,0.005102040816326482,4.0,0.2468903927752785,0.00860089873924239,0.16118094531417815
2539,33,2021-04-30,southampton,leicester,1,draw,0.005102040816326482,3.92,0.2912634578218061,0.036705346576173185,0.16118094531417815
2539,33,2021-04-30,southampton,leicester,0,away,0.005102040816326482,2.0,0.4618461494029154,1.747629926385429e-18,0.16118094531417815
2540,33,2021-05-01,crystal_palace,man_city,0,home,0.022126022126021997,11.0,0.1358558529979138,0.04211123649054299,0.16118094531417815
2540,33,2021-05-01,crystal_palace,man_city,0,draw,0.022126022126021997,5.25,0.2139020671762323,0.029443070023258362,0.16118094531417815
2540,33,2021-05-01,crystal_palace,man_city,1,away,0.022126022126021997,1.35,0.6502420798258538,3.436527292299091e-18,0.16118094531417815
2541,34,2021-05-01,brighton,leeds,1,home,0.023197789363333943,2.19,0.3554397621297033,1.8371028876736076e-17,0.11595730890731822
2541,34,2021-05-01,brighton,leeds,0,draw,0.023197789363333943,3.52,0.3057065720927435,0.053970835616000384,0.11595730890731822
2541,34,2021-05-01,brighton,leeds,0,away,0.023197789363333943,3.54,0.3388536657775532,0.08355613269649971,0.11595730890731822
2542,34,2021-05-01,chelsea,fulham,1,home,0.018939393939394037,1.5,0.5941483913011679,3.037088387214416e-17,0.11595730890731822
2542,34,2021-05-01,chelsea,fulham,0,draw,0.018939393939394037,4.4,0.2479640775884987,0.029145915619218175,0.11595730890731822
2542,34,2021-05-01,chelsea,fulham,0,away,0.018939393939394037,8.0,0.15788753111033332,0.03439455690033827,0.11595730890731822
2543,34,2021-05-01,everton,aston_villa,0,home,-0.008542704194878016,2.07,0.3885667824627248,0.08714513702532586,0.11595730890731822
2543,34,2021-05-01,everton,aston_villa,0,draw,-0.008542704194878016,3.7,0.3194939773446725,0.13340178143318107,0.11595730890731822
2543,34,2021-05-01,everton,aston_villa,1,away,-0.008542704194878016,4.2,0.2919392401926028,0.12680705758475833,0.11595730890731822
2544,34,2021-05-02,newcastle,arsenal,0,home,0.020634920634920558,3.75,0.27284099740475737,0.004087095881012953,0.11595730890731822
2544,34,2021-05-02,newcastle,arsenal,0,draw,0.020634920634920558,3.6,0.2750643100765077,3.191284270971933e-18,0.11595730890731822
2544,34,2021-05-02,newcastle,arsenal,1,away,0.020634920634920558,2.1,0.4520946925187348,0.0,0.11595730890731822
2545,34,2021-05-02,tottenham,sheffield_united,1,home,0.009819967266775588,1.3,0.7442390750665103,2.295526790885634e-18,0.11595730890731822
2545,34,2021-05-02,tottenham,sheffield_united,0,draw,0.009819967266775588,6.11,0.18019119265012576,0.014319081158365691,0.11595730890731822
