result,season,matchweek,date,hometeam,awayteam,big_six_ad,promoted_team_ad,position_table_ad,total_pts_ad,npxGD_ma_ad,ip_ad,saa_ad,proba_h,proba_d,proba_a
D,14,11,2014-11-08,west_ham,aston_villa,0,0,11,7,0.9814741178976085,-1,1.1900000000000013,0.5756049981546897,0.24648072968840615,0.17791427215690409
D,14,11,2014-11-09,sunderland,everton,0,0,-6,-2,-0.5798038031623836,-2,-2.2699999999999996,0.2504754523199,0.27973326868775156,0.4697912789923483
H,14,11,2014-11-09,swansea,arsenal,-1,0,-2,-2,-1.4302803996352744,-4,0.629999999999999,0.2390292060880297,0.2684985602632662,0.4924722336487043
A,14,11,2014-11-09,tottenham,stoke,1,0,5,2,0.15176977897127625,3,-2.1799999999999997,0.5204960596249008,0.27564298368867984,0.20386095668641946
A,14,11,2014-11-09,west_brom,newcastle,0,0,1,0,-0.3818991029007123,-2,1.4600000000000009,0.46213277076693693,0.28072248539424244,0.2571447438388205
A,14,12,2014-11-22,arsenal,man_united,0,0,1,1,1.0612110698493733,-2,-0.35999999999999943,0.4887662224835937,0.25929242572073935,0.25194135179566685
H,14,12,2014-11-22,chelsea,west_brom,1,0,12,16,1.0481766965040618,6,-0.5399999999999991,0.8017289932075267,0.14073516139758022,0.05753584539489309
H,14,12,2014-11-22,everton,west_ham,0,0,-6,-4,-0.1361109520386618,2,1.8099999999999987,0.6004122795106958,0.22293212200511026,0.17665559848419385
D,14,12,2014-11-22,leicester,sunderland,0,-1,-4,-3,-0.08428806551788126,-4,-1.3599999999999994,0.49736699576500687,0.26481431936677385,0.2378186848682193
H,14,12,2014-11-22,man_city,swansea,1,0,2,3,0.861766476407793,5,2.3599999999999994,0.7216708927166214,0.17279443910116293,0.10553466818221562
H,14,12,2014-11-22,newcastle,queens_rangers,0,1,11,8,0.5781357913052508,2,-3.719999999999999,0.5382553248901586,0.2626339654960023,0.19911070961383917
A,14,12,2014-11-22,stoke,burnley,0,1,11,8,1.0314226360376404,5,-1,0.592869375681146,0.26156001868285844,0.14557060563599564
H,14,12,2014-11-23,crystal_palace,liverpool,-1,0,-6,-5,0.22845612203107718,-7,3.539999999999999,0.2305254432869054,0.2721480927692633,0.49732646394383145
A,14,12,2014-11-23,hull,tottenham,-1,0,-3,-3,-1.1764492973954312,-6,2.4499999999999993,0.2913551401869159,0.2854264018691589,0.4232184579439253
D,14,12,2014-11-24,aston_villa,southampton,0,0,-14,-14,-1.883515115446434,2,0.28000000000000114,0.16928868159390514,0.240240555497233,0.5904707629088619
D,14,13,2014-11-29,burnley,aston_villa,0,-1,-3,-2,-0.05984353643748652,-6,1.8099999999999987,0.417114152087303,0.29793868006235924,0.2849471678503378
H,14,13,2014-11-29,liverpool,stoke,1,0,-1,-1,-0.6623490999328129,4,-1,0.569008255555795,0.2483995430345095,0.18259220140969543
H,14,13,2014-11-29,man_united,hull,1,0,13,8,0.8649317195519376,9,-1.5399999999999991,0.7110701423426513,0.18341622363231008,0.10551363402503858
H,14,13,2014-11-29,queens_rangers,leicester,0,0,-2,-2,-0.11079908693366469,4,0.5399999999999991,0.3877601791193299,0.29372253088979183,0.31851728999087814
D,14,13,2014-11-29,sunderland,chelsea,-1,0,-13,-19,-1.7072549989815833,-6,2.3599999999999994,0.11028450204876346,0.1784603760425445,0.7112551219086919
D,14,13,2014-11-29,swansea,crystal_palace,0,0,8,6,-0.544374643379591,3,-2.4499999999999993,0.5163778325017404,0.27793707698393955,0.20568509051432007
A,14,13,2014-11-29,west_brom,arsenal,-1,0,-5,-4,-1.9622158016240774,-4,1.4499999999999993,0.19714312961105993,0.25852278474062473,0.5443340856483154
H,14,13,2014-11-29,west_ham,newcastle,0,0,-1,-1,-0.17855344020146258,-2,1.5500000000000007,0.42429853870617124,0.28742804234934183,0.28827341894448694
A,14,13,2014-11-30,southampton,man_city,-1,0,1,2,0.1916312200447966,-6,-2.280000000000001,0.3345205262383466,0.28410004112416104,0.3813794326374925
H,14,13,2014-11-30,tottenham,everton,1,0,-1,0,0.3374831793512682,1,-3.719999999999999,0.43603945563042223,0.27792883149247877,0.2860317128770991
D,14,14,2014-12-02,burnley,newcastle,0,-1,-10,-8,-0.6764724079932312,-7,1.2699999999999996,0.33570974773739737,0.2943761151330932,0.36991413712950955
A,14,14,2014-12-02,crystal_palace,aston_villa,0,0,2,0,0.5709483598012657,-4,2.09,0.47517436969088384,0.28372730480093356,0.24109832550818247
A,14,14,2014-12-02,leicester,liverpool,-1,-1,-9,-7,-0.346277338847109,-8,1.5399999999999991,0.23740437879187554,0.2723555790029016,0.4902400422052229
H,14,14,2014-12-02,man_united,stoke,1,0,8,7,0.08708559006007513,6,-0.46000000000000085,0.609474814986177,0.2393303541774988,0.15119483083632435
H,14,14,2014-12-02,swansea,queens_rangers,0,1,10,8,0.004243170599156465,0,-2.2699999999999996,0.5829787234042554,0.23829787234042554,0.17872340425531916
A,14,14,2014-12-02,west_brom,west_ham,0,0,-10,-8,-1.0104910281567052,0,0,0.4018512774711415,0.2926916767252493,0.30545704580360916
H,14,14,2014-12-03,arsenal,southampton,1,0,-3,-6,0.5956024831931417,5,0.46000000000000085,0.5441870904805891,0.26261039218902427,0.19320251733038668
H,14,14,2014-12-03,chelsea,tottenham,0,0,6,13,0.6687005853572294,3,1.8200000000000003,0.6702862462014336,0.2009482380809226,0.12876551571764383
D,14,14,2014-12-03,everton,hull,0,0,7,6,1.0826784894948844,5,0.9100000000000001,0.6353675579202587,0.2213724070581897,0.1432600350215517
A,14,14,2014-12-03,sunderland,man_city,-1,0,-11,-13,-0.9441922616041278,-5,0.629999999999999,0.140147132954653,0.20144351759395707,0.65840934945139
D,14,15,2014-12-06,hull,west_brom,0,0,-1,-1,-0.2721813298753546,-3,0.08999999999999986,0.39987246094116313,0.3014423167094923,0.29868522234934447
D,14,15,2014-12-06,liverpool,sunderland,1,0,6,6,0.14592194702839617,4,-2.3599999999999994,0.6585983675766957,0.20968195890796512,0.13171967351533914
H,14,15,2014-12-06,man_city,everton,1,0,9,12,0.45587465207890776,3,-0.08999999999999986,0.6758427662928912,0.19521354803280722,0.1289436856743016
H,14,15,2014-12-06,newcastle,chelsea,-1,0,-8,-16,-1.0570427498574935,-4,-0.7300000000000004,0.15319926873857403,0.23400365630712974,0.6127970749542961
H,14,15,2014-12-06,queens_rangers,burnley,0,0,-1,-1,0.14109342992886797,5,1.6400000000000006,0.4889109566368753,0.2793776895067859,0.231711353856339
H,14,15,2014-12-06,stoke,arsenal,-1,0,-7,-8,-1.126598221788831,-4,1,0.2643874966392619,0.2827265137471876,0.4528859896135505
D,14,15,2014-12-06,tottenham,crystal_palace,1,0,5,7,0.22054217314939006,6,-3.7300000000000004,0.5932159470898166,0.242278790271831,0.16450526263835247
H,14,15,2014-12-07,aston_villa,leicester,0,1,8,6,-0.2012500154633748,5,-1.8099999999999987,0.39032632801774214,0.2915830605132537,0.3180906114690041
H,14,15,2014-12-07,west_ham,swansea,0,0,2,2,0.34717959497422735,0,1,0.40272469763050217,0.28953284474618945,0.30774245762330826
A,14,15,2014-12-08,southampton,man_united,-1,0,1,1,-0.11405307624506483,-7,-1,0.34295781023660066,0.2826683969097054,0.3743737928536939
H,14,16,2014-12-13,arsenal,newcastle,1,0,1,0,0.8483810549294485,2,0.08999999999999986,0.6909042570868366,0.18168223056727922,0.12741351234588413
H,14,16,2014-12-13,burnley,southampton,0,-1,-14,-14,-0.8060326301373031,-4,0.08999999999999986,0.20626886688402926,0.2669692418798744,0.5267618912360963
H,14,16,2014-12-13,chelsea,hull,1,0,17,23,1.9244300966533285,9,-1.1799999999999997,0.8325449385052034,0.12280037842951748,0.04465468306527908
D,14,16,2014-12-13,crystal_palace,stoke,0,0,-2,-4,-0.16834002136919027,-3,1.1799999999999997,0.38607427356699225,0.3036002027430837,0.31032552368992417
A,14,16,2014-12-13,leicester,man_city,-1,-1,-18,-23,-1.2700695555255228,-9,-1.4499999999999993,0.13820813556507525,0.21193904157927304,0.6498528228556517
D,14,16,2014-12-13,sunderland,west_ham,0,0,-10,-12,-0.5666654050711204,0,1.2800000000000011,0.3504940237222803,0.2964904128164304,0.35301556346128943
H,14,16,2014-12-13,west_brom,aston_villa,0,0,-5,-5,-0.18128308126162068,-1,1.1799999999999997,0.44124064171122995,0.3023315508021391,0.2564278074866311
H,14,16,2014-12-14,man_united,liverpool,0,0,6,7,0.19445128492342795,2,0,0.5158557099246153,0.26633854588499156,0.2178057441903931
A,14,16,2014-12-14,swansea,tottenham,-1,0,2,1,-0.48273300883618586,-3,2.460000000000001,0.4047558891283347,0.2751430482276882,0.3201010626439771
H,14,16,2014-12-15,everton,queens_rangers,0,1,5,4,0.38805353694364647,2,0.08999999999999986,0.6844102891715675,0.18930497360064635,0.12628473722778602
D,14,17,2014-12-20,aston_villa,man_united,-1,0,-10,-12,-0.6374146002829592,-5,-0.6400000000000006,0.15741094457006863,0.24095090532469965,0.6016381501052317
A,14,17,2014-12-20,hull,swansea,0,0,-10,-9,-0.6392953164278878,-3,-0.35999999999999943,0.35720576414981864,0.3087519854165625,0.33404225043361885
H,14,17,2014-12-20,man_city,crystal_palace,1,0,14,21,0.7775103942264125,8,0.6400000000000006,0.7435389033228497,0.16921919868726923,0.08724189798988102
H,14,17,2014-12-20,queens_rangers,west_brom,0,-1,-4,-3,0.17545320670556563,0,0.35999999999999943,0.38520884817069495,0.29586824181785304,0.31892291001145195
