result,season,matchweek,date,hometeam,awayteam,maxo_h,maxo_d,maxo_a,market_tracktake,diff_home,diff_draw,diff_away
H,20,5,2020-10-17,man_city,arsenal,1.51,5,6.5,0.016097809475292824,0.028342514647294426,-0.010537919038913213,-0.09270522870802311
A,20,5,2020-10-17,newcastle,man_united,5,4.2,1.74,0.012807881773398977,-0.018035416632510293,0.009746183955174015,0.002550842976871248
D,20,5,2020-10-18,sheffield_united,fulham,2.15,3.4,3.9,0.015644182538847362,0.11718563685707095,-0.06983342931287484,-0.0930140044526252
D,20,5,2020-10-18,crystal_palace,brighton,2.73,3.34,2.83,0.019058454364520694,0.19698241502271951,-0.027612071518515302,-0.12780582414932828
D,20,5,2020-10-18,tottenham,west_ham,1.64,4.33,5.63,0.018322873206129575,0.00532814137463733,-0.010258678005776956,-0.0043144376012470564
A,20,5,2020-10-18,leicester,aston_villa,1.93,3.9,4.1,0.018447410460553426,0.28414870469553155,-0.07000649512544566,-0.28094997539496347
D,20,5,2020-10-19,west_brom,burnley,2.54,3.37,3.05,0.018305544905101723,0.07534642232283661,-0.03512084474353372,-0.04869972415420465
A,20,5,2020-10-19,leeds,wolves,2.55,3.31,3.07,0.02000456539327722,0.02301012100641997,0.011571107950752113,-0.03631979315880318
A,20,5,2020-10-23,aston_villa,leeds,2.15,3.83,3.44,0.016910559232497402,-0.09628576920437015,0.07288174945144421,0.1249331077520488
D,20,5,2020-10-24,west_ham,man_city,8,5.3,1.43,0.012979944583718206,-0.0700963653692086,-0.030190130238048396,0.0231157303243279
A,20,6,2020-10-24,fulham,crystal_palace,2.8,3.21,2.86,0.018319686543985636,-0.04928462144266432,-0.021070244738470634,0.07773403237268828
D,20,6,2020-10-24,man_united,chelsea,2.45,3.65,2.97,0.018836204746185192,0.09833775195515027,-0.05172794995938168,-0.06028216445878476
H,20,6,2020-10-24,liverpool,sheffield_united,1.27,6.66,13,0.014474801876376509,-0.023629086698382817,0.11904373186153072,0.045922026414575656
H,20,6,2020-10-25,southampton,everton,2.84,3.58,2.58,0.01903918421969175,0.08607443650214819,-0.004149406623075613,-0.06454144352218572
D,20,6,2020-10-25,wolves,newcastle,1.8,3.59,5.48,0.016588839413799406,0.04077086154430698,-0.01792777961206915,-0.0843017611212632
A,20,6,2020-10-25,arsenal,leicester,1.95,3.83,4.06,0.02022253728385004,0.0253370809043294,-0.06816134612069336,0.0267892208588123
D,20,6,2020-10-26,brighton,west_brom,1.78,4.08,4.8,0.015229125358008355,-0.06012972571154418,0.055795332776188644,0.12113866786953142
A,20,6,2020-10-26,burnley,tottenham,6,4.15,1.66,0.010040160642570406,-0.0014907964710797472,0.06865901062469937,-0.024636617286980522
H,20,6,2020-10-30,wolves,crystal_palace,2.1,3.21,4.41,0.014474325555767331,0.023360996554354196,-0.022564831980839473,-0.016635592259764964
A,20,6,2020-10-31,sheffield_united,man_city,10,6,1.33,0.018546365914786866,0.08488353596505172,0.05771451957887308,-0.022385485242167436
