date,team_name,npxGD,xi,mean_value
2015-09-19,Arsenal,-1.2933880000000002,wmean_01,1.1927620237002299
2015-09-19,Arsenal,-1.2933880000000002,wmean_005,1.0552209235746137
2015-09-19,Arsenal,-1.2933880000000002,wmean_0,0.8800275593648047
2015-09-26,Arsenal,2.51107,wmean_inf,2.1272995013851834
2015-09-26,Arsenal,2.51107,wmean_05,1.629772163580288
2015-09-26,Arsenal,2.51107,wmean_01,1.3876665038417086
2015-09-26,Arsenal,2.51107,wmean_005,1.1685772222851964
2015-09-26,Arsenal,2.51107,wmean_0,0.9162729470510594
2015-10-04,Arsenal,1.1299899999999998,wmean_inf,1.2222202358448873
2015-10-04,Arsenal,1.1299899999999998,wmean_05,1.4118729816128945
2015-10-04,Arsenal,1.1299899999999998,wmean_01,1.3510303295242112
2015-10-04,Arsenal,1.1299899999999998,wmean_005,1.1656383196855036
2015-10-04,Arsenal,1.1299899999999998,wmean_0,0.9209189699563923
2015-10-17,Arsenal,2.435669,wmean_inf,2.4096707033282985
2015-10-17,Arsenal,2.435669,wmean_05,1.9489441357194122
2015-10-17,Arsenal,2.435669,wmean_01,1.5095729458215756
2015-10-17,Arsenal,2.435669,wmean_005,1.2635929172699134
2015-10-17,Arsenal,2.435669,wmean_0,0.9531476941085105
2015-10-24,Arsenal,2.1845149999999998,wmean_inf,2.209335059087113
2015-10-24,Arsenal,2.1845149999999998,wmean_05,2.0581967357568907
2015-10-24,Arsenal,2.1845149999999998,wmean_01,1.6034417467110187
2015-10-24,Arsenal,2.1845149999999998,wmean_005,1.3326629275760766
2015-10-24,Arsenal,2.1845149999999998,wmean_0,0.9788011797351002
2015-10-31,Arsenal,1.912129,wmean_inf,1.9477695100660217
2015-10-31,Arsenal,1.912129,wmean_05,1.9949037713667215
2015-10-31,Arsenal,1.912129,wmean_01,1.644567006334048
2015-10-31,Arsenal,1.912129,wmean_005,1.3750125742908268
2015-10-31,Arsenal,1.912129,wmean_0,0.9978486863363966
